dataset	method	frequency_hz	snr_db	seed	reference_arrival_sample	reference_arrival_ms	pick_sample	signed_error_samples	error_samples	signed_error_ms	error_ms	success	waveform	noise_type
synthetic	AIC	100	-8	2713926881	213	213	305	92	92	92	92	TRUE	ricker	WGN
synthetic	AIC	100	-8	1470866761	213	213	230	17	17	17	17	TRUE	ricker	WGN
synthetic	AIC	100	-8	3869573930	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	1411907197	213	213	235	22	22	22	22	TRUE	ricker	WGN
synthetic	AIC	100	-8	2782467353	213	213	2	-211	211	-211	211	TRUE	ricker	WGN
synthetic	AIC	100	-8	3853668971	213	213	220	7	7	7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	3912670882	213	213	192	-21	21	-21	21	TRUE	ricker	WGN
synthetic	AIC	100	-8	2451122306	213	213	324	111	111	111	111	TRUE	ricker	WGN
synthetic	AIC	100	-8	1983522974	213	213	206	-7	7	-7	7	TRUE	ricker	WGN
synthetic	AIC	100	-8	338498517	213	213	221	8	8	8	8	TRUE	ricker	WGN
synthetic	AIC	100	-8	2023914702	213	213	210	-3	3	-3	3	TRUE	ricker	WGN
synthetic	AIC	100	-8	3131833464	213	213	244	31	31	31	31	TRUE	ricker	WGN
