frequency_hz,snr_db,repeat,feature,window_size,sta_size,lta_size,label_onset,label_end,label_width_samples,retained_scale_count,snr_definition,pearson_abs
100,-10,45,M,21,30,150,213,237,25,122,full_trace_mean_square,0.7581552376428261
100,-10,45,P,21,30,150,213,237,25,122,full_trace_mean_square,0.8924290623360438
100,-10,45,SLTA,21,30,150,213,237,25,122,full_trace_mean_square,0.7468419969202462
100,-10,45,Std,21,30,150,213,237,25,122,full_trace_mean_square,0.8104617523308705
100,-10,45,S,21,30,150,213,237,25,122,full_trace_mean_square,0.24713280839588805
100,-10,45,K,21,30,150,213,237,25,122,full_trace_mean_square,0.43448960131265163
100,-10,46,M,21,30,150,213,237,25,98,full_trace_mean_square,0.7090791076188816
100,-10,46,P,21,30,150,213,237,25,98,full_trace_mean_square,0.8820301953914023
100,-10,46,SLTA,21,30,150,213,237,25,98,full_trace_mean_square,0.6745252806183982
100,-10,46,Std,21,30,150,213,237,25,98,full_trace_mean_square,0.7854558663665956
100,-10,46,S,21,30,150,213,237,25,98,full_trace_mean_square,0.09709487260840462
100,-10,46,K,21,30,150,213,237,25,98,full_trace_mean_square,0.340291566427896
100,-10,47,M,21,30,150,213,237,25,116,full_trace_mean_square,0.7926629905247365
100,-10,47,P,21,30,150,213,237,25,116,full_trace_mean_square,0.9057961754989448
100,-10,47,SLTA,21,30,150,213,237,25,116,full_trace_mean_square,0.7515214531606907
100,-10,47,Std,21,30,150,213,237,25,116,full_trace_mean_square,0.8442325636900297
100,-10,47,S,21,30,150,213,237,25,116,full_trace_mean_square,0.3026491033648153
100,-10,47,K,21,30,150,213,237,25,116,full_trace_mean_square,0.45784392870105045
100,-10,48,M,21,30,150,213,237,25,84,full_trace_mean_square,0.8245459976643038
100,-10,48,P,21,30,150,213,237,25,84,full_trace_mean_square,0.9077757428222721
100,-10,48,SLTA,21,30,150,213,237,25,84,full_trace_mean_square,0.7320544030173739
100,-10,48,Std,21,30,150,213,237,25,84,full_trace_mean_square,0.8248514670305369
100,-10,48,S,21,30,150,213,237,25,84,full_trace_mean_square,0.12232825928549268
